"time","V1","V2","Va","D","y1 (% relative to rated power)","y2 (% relative to rated power)","out1","out2"
"11/02/2010 14:10",8.9,8.5,8.36366560273679,97.7,48.5757575757576,49.8787878787879,0,0
"11/02/2010 14:20",8.8,8.7,8.55742946450679,101.8,48.2909090909091,53.4969696969697,0,0
"11/02/2010 14:30",8.1,8.3,8.16445846406363,100.9,38.0909090909091,46.7515151515152,0,0
"11/02/2010 14:40",7.6,7.9,7.76819658758192,103.4,33.6,40.4969696969697,0,0
"11/02/2010 14:50",7,7.5,7.36948772889263,107.6,26.9272727272727,35.6969696969697,0,0
"11/02/2010 15:00",6.2,7.3,7.17044956460772,112.1,21.4424242424242,31.2666666666667,0,0
"11/02/2010 15:10",6.8,8,7.85322767673474,112.2,27.8969696969697,42.1757575757576,0,0
"11/02/2010 15:20",6.8,7.8,7.65537700396282,110.1,25.8121212121212,35.9575757575758,0,0
"11/02/2010 15:30",6.2,7.5,7.35836444294171,110.5,21.0121212121212,33.0181818181818,0,0
"11/02/2010 15:40",6.2,7.2,7.06149291438917,117.4,20.1454545454545,30.4909090909091,0,0
"11/02/2010 15:50",6.6,7.1,6.9598003619086,113.8,24.0242424242424,28.9212121212121,0,0
"11/02/2010 16:00",6.7,7.3,7.15237944914108,113.8,25.2787878787879,32.4666666666667,0,0
"11/02/2010 16:10",6,6.4,6.26799972434174,107.7,18.0181818181818,22.9575757575758,0,0
"11/02/2010 16:20",6.8,6.4,6.26730276904114,108.4,24.2060606060606,23.8787878787879,0,0
"11/02/2010 16:30",5.9,6.3,6.1684626028215,115.6,15.6181818181818,21.5030303030303,0,0
"11/02/2010 16:40",5.6,6.3,6.16505441771242,106.9,14.7575757575758,22.7757575757576,0,0
"11/02/2010 16:50",6,6.2,6.06683466552844,111.5,14.969696969697,18.6727272727273,0,0
"11/02/2010 17:00",6.2,6.8,6.65334423330865,100.5,18.0121212121212,23.2727272727273,0,0
"11/02/2010 17:10",6.8,6.1,5.96686135926183,98,19,17.569696969697,0,0
"11/02/2010 17:20",5.9,5.9,5.76956871133367,86.6,14.369696969697,16.1030303030303,0,0
"11/02/2010 17:30",6.8,6.4,6.25605887824461,86.8,22.5454545454545,21.6363636363636,0,0
"11/02/2010 17:40",7.1,6.9,6.7425277733527,89.8,25.5757575757576,25.169696969697,0,0
"11/02/2010 17:50",8,7,6.83857196126241,92.4,34.6484848484848,28.4727272727273,0,0
"11/02/2010 18:00",6.9,6.5,6.34945372990281,88.8,22.830303030303,22.0424242424242,0,0
"11/02/2010 18:10",6,6.7,6.54429112396513,90.6,17.1454545454545,23.1636363636364,0,0
"11/02/2010 18:20",6.9,6.5,6.3478620489223,71.1,23.6121212121212,22.6181818181818,0,0
"11/02/2010 18:30",7.3,7,6.83499993604968,73.43,27.9878787878788,27.5757575757576,0,0
"11/02/2010 18:40",8.1,7.2,7.02954285925925,66.97,34.5151515151515,29.2727272727273,0,0
"11/02/2010 18:50",7.7,7.1,6.93139251170529,67.71,32.9939393939394,29.7030303030303,0,0
"11/02/2010 19:00",8,8,7.80814205569299,60.7,37.9090909090909,40.1757575757576,0,0
"11/02/2010 19:10",8.2,7.5,7.31985385652304,70.15,40.3575757575758,34.6969696969697,0,0
"11/02/2010 19:20",8.2,7.8,7.61040402584904,63.84,37.830303030303,38.9818181818182,0,0
"11/02/2010 19:30",8.4,7.4,7.21936549569464,73.17,39.1757575757576,32.0242424242424,0,0
"11/02/2010 19:40",7.7,7.4,7.2177513657552,68.63,36.2606060606061,33.3454545454546,0,0
"11/02/2010 19:50",7.7,6.9,6.72779170409578,78.32,32.0363636363636,25.9333333333333,0,0
"11/02/2010 20:00",7.6,7.3,7.11769214816438,77.6,29.3636363636364,28.6787878787879,0,0
"11/02/2010 20:10",7.9,7,6.82453992565921,74.96,33.6363636363636,28.3030303030303,0,0
"11/02/2010 20:20",8.7,8.1,7.89779901476326,67.9,42.030303030303,38.5818181818182,0,0
"11/02/2010 20:30",8.1,6.8,6.63097948597786,77.85,35.5515151515151,26.6363636363636,0,0
"11/02/2010 20:40",8.6,8.1,7.89886070684729,75.85,42.5878787878788,40.2545454545455,0,0
"11/02/2010 20:50",7.3,7.4,7.21610563938583,77.43,29.2909090909091,29.8242424242424,0,0
"11/02/2010 21:00",8.2,7.8,7.6061103076964,78.61,38.8848484848485,35.9393939393939,0,0
"11/02/2010 21:10",8.1,7.6,7.41032129726492,81.8,38.769696969697,34.8909090909091,0,0
"11/02/2010 21:20",8.6,7.2,7.02002380870355,80.4,41.430303030303,30.9454545454545,0,0
"11/02/2010 21:30",7.7,7.2,7.01989011186762,86.3,31.9515151515152,29.5636363636364,0,0
"11/02/2010 21:40",8.1,6.7,6.53232065272341,85.9,37.4848484848485,25.8060606060606,0,0
"11/02/2010 21:50",8.4,7.1,6.92258010709014,82.8,40.8,30.4424242424242,0,0
"11/02/2010 22:00",8.4,8.1,7.8976994102078,86.8,40.6,38.3212121212121,0,0
"11/02/2010 22:10",7.6,7.3,7.11872066590499,86.5,29.4787878787879,30.5090909090909,0,0
"11/02/2010 22:20",7.7,6.6,6.43688715114623,79.43,30.6121212121212,21.4666666666667,0,0
"11/02/2010 22:30",6.8,6.9,6.73091090532875,85,19.7636363636364,23.5939393939394,0,0
"11/02/2010 22:40",6.5,7.1,6.92773664549983,84.9,16.030303030303,25.6484848484848,0,0
"11/02/2010 22:50",6.2,6.8,6.63609063332614,87.7,13.7212121212121,24.1212121212121,0,0
